Series ID,Year,Period,Label,Value
CUUR0000SS61031,2018,M01,2018 Jan,149.855
CUUR0000SS61031,2018,M02,2018 Feb,150.156
CUUR0000SS61031,2018,M03,2018 Mar,150.254
CUUR0000SS61031,2018,M04,2018 Apr,150.766
CUUR0000SS61031,2018,M05,2018 May,150.791
CUUR0000SS61031,2018,M06,2018 Jun,150.988
CUUR0000SS61031,2018,M07,2018 Jul,150.832
CUUR0000SS61031,2018,M08,2018 Aug,150.306
CUUR0000SS61031,2018,M09,2018 Sep,150.700
CUUR0000SS61031,2018,M10,2018 Oct,150.916
CUUR0000SS61031,2018,M11,2018 Nov,150.883
CUUR0000SS61031,2018,M12,2018 Dec,151.002
CUUR0000SS61031,2019,M01,2019 Jan,151.723
CUUR0000SS61031,2019,M02,2019 Feb,152.726
CUUR0000SS61031,2019,M03,2019 Mar,153.469
CUUR0000SS61031,2019,M04,2019 Apr,154.079
CUUR0000SS61031,2019,M05,2019 May,154.985
CUUR0000SS61031,2019,M06,2019 Jun,155.156
CUUR0000SS61031,2019,M07,2019 Jul,156.355
CUUR0000SS61031,2019,M08,2019 Aug,156.185
CUUR0000SS61031,2019,M09,2019 Sep,155.656
CUUR0000SS61031,2019,M10,2019 Oct,156.534
CUUR0000SS61031,2019,M11,2019 Nov,156.500
CUUR0000SS61031,2019,M12,2019 Dec,156.207
CUUR0000SS61031,2020,M01,2020 Jan,155.686
CUUR0000SS61031,2020,M02,2020 Feb,156.738
CUUR0000SS61031,2020,M03,2020 Mar,156.250
CUUR0000SS61031,2020,M04,2020 Apr,155.792
CUUR0000SS61031,2020,M05,2020 May,155.297
CUUR0000SS61031,2020,M06,2020 Jun,154.131
CUUR0000SS61031,2020,M07,2020 Jul,154.041
CUUR0000SS61031,2020,M08,2020 Aug,155.271
CUUR0000SS61031,2020,M09,2020 Sep,154.382
CUUR0000SS61031,2020,M10,2020 Oct,153.825
CUUR0000SS61031,2020,M11,2020 Nov,155.057
CUUR0000SS61031,2020,M12,2020 Dec,155.040
CUUR0000SS61031,2021,M01,2021 Jan,154.958
CUUR0000SS61031,2021,M02,2021 Feb,155.237
CUUR0000SS61031,2021,M03,2021 Mar,155.473
CUUR0000SS61031,2021,M04,2021 Apr,155.767
CUUR0000SS61031,2021,M05,2021 May,155.278
CUUR0000SS61031,2021,M06,2021 Jun,155.513
CUUR0000SS61031,2021,M07,2021 Jul,156.406
CUUR0000SS61031,2021,M08,2021 Aug,156.024
CUUR0000SS61031,2021,M09,2021 Sep,156.843
CUUR0000SS61031,2021,M10,2021 Oct,157.035
CUUR0000SS61031,2021,M11,2021 Nov,157.431
CUUR0000SS61031,2021,M12,2021 Dec,158.730
CUUR0000SS61031,2022,M01,2022 Jan,159.179
CUUR0000SS61031,2022,M02,2022 Feb,160.926
CUUR0000SS61031,2022,M03,2022 Mar,164.706
CUUR0000SS61031,2022,M04,2022 Apr,166.720
CUUR0000SS61031,2022,M05,2022 May,169.335
CUUR0000SS61031,2022,M06,2022 Jun,171.516
CUUR0000SS61031,2022,M07,2022 Jul,173.512
CUUR0000SS61031,2022,M08,2022 Aug,176.467
CUUR0000SS61031,2022,M09,2022 Sep,178.728
CUUR0000SS61031,2022,M10,2022 Oct,180.587
CUUR0000SS61031,2022,M11,2022 Nov,182.118
CUUR0000SS61031,2022,M12,2022 Dec,182.820
CUUR0000SS61031,2023,M01,2023 Jan,183.170
CUUR0000SS61031,2023,M02,2023 Feb,185.330
CUUR0000SS61031,2023,M03,2023 Mar,188.380
CUUR0000SS61031,2023,M04,2023 Apr,191.055
CUUR0000SS61031,2023,M05,2023 May,192.666
CUUR0000SS61031,2023,M06,2023 Jun,192.219
CUUS0000SS61031,2018,S01,2018 Half1,150.468
CUUS0000SS61031,2018,S02,2018 Half2,150.773
CUUS0000SS61031,2019,S01,2019 Half1,153.690
CUUS0000SS61031,2019,S02,2019 Half2,156.240
CUUS0000SS61031,2020,S01,2020 Half1,155.649
CUUS0000SS61031,2020,S02,2020 Half2,154.603
CUUS0000SS61031,2021,S01,2021 Half1,155.371
CUUS0000SS61031,2021,S02,2021 Half2,157.078
CUUS0000SS61031,2022,S01,2022 Half1,165.397
CUUS0000SS61031,2022,S02,2022 Half2,179.039
CUUS0000SS61031,2023,S01,2023 Half1,188.803
